COMPANY,STATE,NG1_PRICE,NG1_PROD
RESERVE GAS COMPANY INC,New York,4.22,68805
ROUNDTREE & ASSOCIATES INC,Mississippi,3.58,299266
LEWIS PETRO PROPERTIES,Texas,2.95,262674384
OI AUBURN INC C O DUFCO INC,New York,4.22,124025
CONOCOPHILLIPS ALASKA  INC,Alaska,9.1,1120101920
HILCORP ALASKA LLC,Alaska,9.1,404956347
TIKIGAQ/CONAM,Alaska,9.1,1527121
MCLEAN CITY OF,Texas,2.95,7496
PANTERA ENERGY CO,Texas,2.95,13915658
PELICAN RESERVE PIPELINE CO,Texas,2.95,66822
DTE BIOMASS ENERGY,Texas,2.95,1218893
